primary_label,type,latitude,longitude,scientific_name,common_name,date,time,date_was_corrected,time_was_corrected
amerob,['call'],43.077,-96.17,Turdus migratorius,American Robin,2012-06-23,1900-01-01 21:00:00,False,False
amerob,['flight call'],44.942,-93.259,Turdus migratorius,American Robin,2012-10-30,1900-01-01 14:00:00,False,False
amerob,['call'],40.557,-105.017,Turdus migratorius,American Robin,2012-04-10,1900-01-01 08:20:00,False,False
amerob,['alarm call'],40.557,-105.017,Turdus migratorius,American Robin,2012-04-10,1900-01-01 09:05:00,False,False
amerob,['call'],42.4513,-71.6077,Turdus migratorius,American Robin,2012-03-28,1900-01-01 19:05:00,False,False
amerob,['song'],43.0802,-96.1643,Turdus migratorius,American Robin,2013-04-03,1900-01-01 06:22:00,False,False
amerob,['song'],43.0802,-96.1643,Turdus migratorius,American Robin,2013-04-06,1900-01-01 07:13:00,False,False
amerob,['song'],35.0307,-120.6205,Turdus migratorius,American Robin,2013-04-14,1900-01-01 07:47:00,False,False
amerob,['song'],35.0307,-120.6205,Turdus migratorius,American Robin,2013-04-14,1900-01-01 07:45:00,False,False
amerob,['call'],44.942,-93.259,Turdus migratorius,American Robin,2013-04-17,1900-01-01 06:52:00,False,False
amerob,['hisselly song'],41.1362,-73.8527,Turdus migratorius,American Robin,2013-04-12,1900-01-01 18:45:00,False,False
amerob,['call'],43.077,-96.17,Turdus migratorius,American Robin,2013-04-20,1900-01-01 06:38:00,False,False
amerob,['song'],33.3198,-82.0069,Turdus migratorius,American Robin,2013-03-05,1900-01-01 17:30:00,False,False
amerob,"['call', 'song']",47.5392,-94.8263,Turdus migratorius,American Robin,2013-05-05,1900-01-01 20:11:00,False,False
amerob,"['alarm call', 'call', 'female', 'male']",45.4596,-70.741,Turdus migratorius,American Robin,2013-05-17,1900-01-01 20:25:00,False,False
amerob,['song'],45.0622,-71.3023,Turdus migratorius,American Robin,1994-07-02,1900-01-01 00:00:01,False,True
amerob,['call'],40.8517,-74.2122,Turdus migratorius,American Robin,1995-04-16,1900-01-01 00:00:01,False,True
amerob,['song'],35.6078,-83.447,Turdus migratorius,American Robin,2013-05-25,1900-01-01 11:30:00,False,False
amerob,['song'],32.3932,-110.7042,Turdus migratorius,American Robin,2013-06-04,1900-01-01 07:15:00,False,False
amerob,"['call', 'song']",40.1226,-75.0635,Turdus migratorius,American Robin,2013-04-18,1900-01-01 05:46:00,False,False
amerob,"['call', 'song']",35.5628,-83.4985,Turdus migratorius,American Robin,2013-06-12,1900-01-01 08:00:00,False,False
amerob,"[""dawn song some hisselly's"", 'song']",42.1938,-71.7668,Turdus migratorius,American Robin,2013-06-13,1900-01-01 06:10:00,False,False
amerob,['alarm call'],46.0107,-112.8177,Turdus migratorius,American Robin,2013-05-29,1900-01-01 10:00:00,False,False
amerob,['alarm call'],41.2004,-73.8799,Turdus migratorius,American Robin,2011-05-04,1900-01-01 18:00:00,False,False
